tradeItemID;globalTradeNumber;descriptionShort;descriptionOfTradeItem;netContent;netContentUOM;tradeItemPrice;tradeItemPriceCurrency;tradeItemPriceUOM;iconId;productCategoryID
6182;;Bauernschüblig;Kurzbeschreibung;200;g ;0,69;€;1,04;;Fleisch- und Wurstwaren/Rohwurstware
6180;;Baumnuss;Kurzbeschreibung;375;g ;0,79;€;0,16;;Nüsse, Samen und Ölfrüchte
6183;;Baumnussbrot;Kurzbeschreibung;120;ml;0,89;€;0,45;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
6184;;Béchamelsauce hausgemacht;Kurzbeschreibung;100;g ;0,69;€;0,69;;Verschiedenes/Saucen
5112;;Beeren (Durchschnitt), gekocht (ohne Zugabe von Zucker);Kurzbeschreibung;250;g ;2,49;€;2,49;;Früchte/Früchte gekocht (inkl. Konserven)
6185;;Beeren (Durchschnitt), roh;Kurzbeschreibung;100;ml;1,99;€;1;;Früchte/Früchte frisch
6186;;Berliner;Kurzbeschreibung;200;g ;1,98;€;1,65;;Süssigkeiten/Sonstige süsse Backwaren
6187;;Berner Alpkäse;Kurzbeschreibung;375;g ;3,49;€;6,98;;Milch und Milchprodukte/Hartkäse
6188;;Berner Hobelkäse;Kurzbeschreibung;120;g ;3,49;€;5,24;;Milch und Milchprodukte/Hartkäse
6189;;Berner Zungenwurst;Kurzbeschreibung;100;g ;2,49;€;0,5;;Fleisch- und Wurstwaren/Brühwurstware
6190;;Biber;Kurzbeschreibung;250;g ;0,98;€;0,49;;Süssigkeiten/Sonstige süsse Backwaren
6191;;Bier Panache (Durchschnitt);Kurzbeschreibung;100;ml;0,98;€;0,98;;Alkoholhaltige Getränke/Bier
6192;;Bierhefe, getrocknet;Kurzbeschreibung;200;g ;0,98;€;0,98;;"Speziallebensmittel/Supplemente;Verschiedenes/Hefe"
6193;;Bierwurst;Kurzbeschreibung;375;g ;7,99;€;4;;Fleisch- und Wurstwaren/Brühwurstware
6194;;Birchermüesli, zubereitet (ungezuckert);Kurzbeschreibung;120;g ;1,39;€;1,16;;Gerichte/Müesli
6195;;Birne, gedünstet, abgetropft (ohne Zugabe von Zucker);Kurzbeschreibung;100;g ;1,49;€;2,98;;Früchte/Früchte gekocht (inkl. Konserven)
6196;;Birne, getrocknet;Kurzbeschreibung;250;g ;0,77;€;1,16;;Früchte/Früchte getrocknet
6197;;Birne, gezuckert (Konserve);Kurzbeschreibung;100;g ;0,39;€;0,08;;Früchte/Früchte gekocht (inkl. Konserven)
6198;;Birne, roh;Kurzbeschreibung;200;g ;1,1;€;0,55;;Früchte/Früchte frisch
6199;;Birne, ungezuckert (Konserve);Kurzbeschreibung;375;g ;1,49;€;1,49;;Früchte/Früchte gekocht (inkl. Konserven)
6201;;Birnenkuchen, gebacken (mit Blätterteig);Kurzbeschreibung;120;g ;0,69;€;0,69;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
6200;;Birnenkuchen, gebacken (mit Kuchenteig);Kurzbeschreibung;100;g ;0,69;€;0,35;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
6202;;Birnensaft;Kurzbeschreibung;250;g ;5,99;€;4,99;;"Früchte/Fruchtsäfte;Alkoholfreie Getränke/Frucht- und Gemüsesäfte"
6203;;Birnenweggen;Kurzbeschreibung;100;ml;0,99;€;1,98;;Süssigkeiten/Sonstige süsse Backwaren
6204;;Blanc battu;Kurzbeschreibung;200;g ;0,69;€;1,04;;Milch und Milchprodukte/Frischkäse und Quark
6205;;Blanc battu mit Früchten light;Kurzbeschreibung;375;g ;1,49;€;0,3;;Milch und Milchprodukte/Frischkäse und Quark
6206;;Blätterteig hausgemacht (Butter), ungebacken;Kurzbeschreibung;120;g ;0,69;€;0,35;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige
6207;;Blätterteig hausgemacht (mit pflanzlichem Fett), ungebacken;Kurzbeschreibung;100;g ;0,79;€;1,58;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Teige
6208;;Blätterteigpastetli, Butter;Kurzbeschreibung;250;g ;0,69;€;1,04;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte
6209;;Blätterteigstängel;Kurzbeschreibung;100;g ;1,29;€;0,26;;Salzige Snacks/Blätterteiggebäcke
5113;;Blattgemüse (Durchschnitt exkl. Salate), gedämpft (ohne Zugabe von Salz);Kurzbeschreibung;200;g ;0,69;€;0,35;;Gemüse/Gemüse gekocht (inkl. Konserven)
5114;;Blattgemüse (Durchschnitt exkl. Salate), gedünstet (ohne Zugabe von Salz und Fett);Kurzbeschreibung;375;g ;0,69;€;0,69;;Gemüse/Gemüse gekocht (inkl. Konserven)
6210;;Blattgemüse (Durchschnitt exkl. Salate), gekocht (ohne Zugabe von Salz und Fett);Kurzbeschreibung;120;ml;0,79;€;0,79;;Gemüse/Gemüse gekocht (inkl. Konserven)
6211;;Blattsalat (Durchschnitt), roh ;Kurzbeschreibung;100;g ;0,89;€;0,45;;Gemüse/Gemüse frisch
6212;;Blauschimmelkäse (Durchschnitt);Kurzbeschreibung;250;g ;0,69;€;0,58;;Milch und Milchprodukte/Hartkäse
81;;Blumenkohl, gedämpft (ohne Zugabe von Salz);Kurzbeschreibung;100;g ;2,49;€;4,98;;Gemüse/Gemüse gekocht (inkl. Konserven)
6213;;Blumenkohl, roh;Kurzbeschreibung;200;g ;1,99;€;2,99;;Gemüse/Gemüse frisch
6214;;Blutwurst;Kurzbeschreibung;375;ml;1,98;€;0,4;;Fleisch- und Wurstwaren/Kochwurstware
6215;;Bohne (alle Arten), gekocht (ohne Zugabe von Fett und Salz);Kurzbeschreibung;120;g ;3,49;€;1,75;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte
6216;;Bohne (alle Arten), getrocknet;Kurzbeschreibung;100;ml;3,49;€;3,49;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte
6217;;Bohne, grün, gedämpft (ohne Zugabe von Salz);Kurzbeschreibung;250;ml;2,49;€;2,49;;Gemüse/Gemüse gekocht (inkl. Konserven)
6218;;Bohne, grün, getrocknet;Kurzbeschreibung;100;g ;0,98;€;0,49;;Gemüse/Gemüse getrocknet
6219;;Bohne, grün, roh;Kurzbeschreibung;200;ml;0,98;€;0,82;;Gemüse/Gemüse frisch
6220;;Bolognaisesauce;Kurzbeschreibung;375;g ;0,98;€;1,96;;Verschiedenes/Saucen
6221;;Bouillon, Fleisch, zubereitet;Kurzbeschreibung;120;ml;7,99;€;11,99;;Gerichte/Eintöpfe und Suppen
6222;;Bouillon, Geflügel, zubereitet;Kurzbeschreibung;100;g ;1,39;€;0,28;;Gerichte/Eintöpfe und Suppen
6223;;Bouillon, Gemüse, zubereitet;Kurzbeschreibung;250;g ;1,49;€;0,75;;Gerichte/Eintöpfe und Suppen
6224;;Branchli (Milchschokolade mit Haselnusscrèmefüllung);Kurzbeschreibung;100;g ;0,77;€;0,77;;Süssigkeiten/Schokolade und Kakaoerzeugnisse
6225;;Branntwein aus Getreide (z.B. Whisky);Kurzbeschreibung;200;g ;0,39;€;0,39;;Alkoholhaltige Getränke/Spirituosen
6226;;Branntwein aus Wein (z.B.Cognac);Kurzbeschreibung;375;g ;1,1;€;0,55;;Alkoholhaltige Getränke/Spirituosen
6227;;Branntwein aus Zuckerrohr (z.B. Rum);Kurzbeschreibung;120;g ;1,49;€;1,24;;Alkoholhaltige Getränke/Spirituosen
6228;;Bratbutter;Kurzbeschreibung;100;g ;0,69;€;1,38;;"Fette und Öle/Fette;Milch und Milchprodukte/Rahm und Butter"
6229;;Bratensauce, gebunden;Kurzbeschreibung;250;g ;0,69;€;1,04;;Verschiedenes/Saucen
1210;;Bratensauce, klar;Kurzbeschreibung;100;g ;5,99;€;1,2;;Verschiedenes/Saucen
1221;;Bresaola;Kurzbeschreibung;200;g ;0,99;€;0,5;;Fleisch- und Wurstwaren/Rohwurstware
1222;;Brie, halbfett;Kurzbeschreibung;375;g ;0,69;€;0,69;;Milch und Milchprodukte/Weichkäse
1225;;Brie, Rahm;Kurzbeschreibung;120;g ;1,49;€;1,49;;Milch und Milchprodukte/Weichkäse
6230;;Brie, vollfett;Kurzbeschreibung;100;g ;0,69;€;0,35;;Milch und Milchprodukte/Weichkäse
6231;;Broccoli, gedämpft (ohne Zugabe von Salz);Kurzbeschreibung;250;g ;0,79;€;0,66;;Gemüse/Gemüse gekocht (inkl. Konserven)
6232;;Broccoli, roh;Kurzbeschreibung;100;g ;0,69;€;1,38;;Gemüse/Gemüse frisch
5115;;Brombeere, roh;Kurzbeschreibung;200;g ;1,29;€;1,94;;Früchte/Früchte frisch
5116;;Brombeerkuchen, gebacken (mit Blätterteig);Kurzbeschreibung;375;g ;0,69;€;0,14;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
6233;;Brombeerkuchen, gebacken (mit Kuchenteig);Kurzbeschreibung;120;g ;0,69;€;0,35;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
6235;;Brombeerkuchen, gebacken (mit süssem Mürbeteig);Kurzbeschreibung;100;g ;0,79;€;1,58;;"Süssigkeiten/Kuchen, Torten und Cake;Gerichte/Kuchen und Gratins"
6234;;Brot (Durchschnitt);Kurzbeschreibung;250;g ;0,89;€;1,34;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
6236;;Brühwürste geräuchert (Durchschnitt);Kurzbeschreibung;100;g ;0,69;€;0,14;;Fleisch- und Wurstwaren/Brühwurstware
6237;;Brühwürste ungeräuchert (Durchschnitt);Kurzbeschreibung;200;g ;2,49;€;1,25;;Fleisch- und Wurstwaren/Brühwurstware
1253;;Brunnenkresse, roh;Kurzbeschreibung;375;ml;1,99;€;1,99;;Gemüse/Gemüse frisch
6238;;Brunsli;Kurzbeschreibung;120;g ;1,98;€;1,98;;Süssigkeiten/Guetzli
6239;;Buchweizen, Korn geschält;Kurzbeschreibung;100;g ;3,49;€;1,75;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Sonstige Getreideprodukte
13130;;Buchweizenmehl;Kurzbeschreibung;250;g ;3,49;€;2,91;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke
6241;;Bündner Gerstensuppe;Kurzbeschreibung;100;g ;2,49;€;4,98;;Gerichte/Eintöpfe und Suppen
6240;;Bürli (halbweiss);Kurzbeschreibung;200;ml;0,98;€;1,47;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
10731;;Buttergipfeli, hell;Kurzbeschreibung;375;ml;0,98;€;0,2;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
6242;;Buttergipfeli, Vollkorn;Kurzbeschreibung;120;g ;0,98;€;0,49;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
1742;;Buttermilch;Kurzbeschreibung;100;g ;7,99;€;7,99;;Milch und Milchprodukte/Milch- und Joghurtgetränke
5117;;Butterweggli;Kurzbeschreibung;250;g ;1,39;€;1,39;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
6243;;Butterzopf;Kurzbeschreibung;100;g ;1,49;€;0,75;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
6244;;Butterzopf, Vollkorn;Kurzbeschreibung;200;g ;0,77;€;0,64;;Brote, Flocken und Frühstückscerealien/Brote und Brotwaren
6245;;Café crème, ungezuckert;Kurzbeschreibung;375;g ;0,39;€;0,78;;Alkoholfreie Getränke/Kaffee
6246;;Cake Financier;Kurzbeschreibung;120;g ;1,1;€;1,65;;Süssigkeiten/Kuchen, Torten und Cake
6247;;Calimocho (Rotwein mit Cola);Kurzbeschreibung;100;g ;1,49;€;0,3;;"Alkoholfreie Getränke/Süssgetränke;Alkoholhaltige Getränke/Sonstige alkoholische Getränke"
6248;;Camembert, halbfett;Kurzbeschreibung;250;g ;0,69;€;0,35;;Milch und Milchprodukte/Weichkäse
6249;;Camembert, Rahm;Kurzbeschreibung;100;g ;0,69;€;0,69;;Milch und Milchprodukte/Weichkäse
6250;;Camembert, vollfett;Kurzbeschreibung;200;ml;5,99;€;5,99;;Milch und Milchprodukte/Weichkäse
6251;;Cannelloni mit Fleischfüllung, zubereitet;Kurzbeschreibung;375;g ;0,99;€;0,5;;Gerichte/Italienische Gerichte
6252;;Cannelloni mit Spinat-Ricotta-Füllung, zubereitet;Kurzbeschreibung;120;g ;0,69;€;0,58;;Gerichte/Italienische Gerichte
6253;;Cappuccino (ohne Schokoladenpulver), ungezuckert;Kurzbeschreibung;100;g ;1,49;€;2,98;;"Milch und Milchprodukte/Milch- und Joghurtgetränke;Alkoholfreie Getränke/Kaffee"
6254;;Capuns, zubereitet;Kurzbeschreibung;250;g ;0,69;€;1,04;;Gerichte/Sonstige salzige/rezente Gerichte
6255;;Cashewnuss;Kurzbeschreibung;100;ml;0,79;€;0,16;;Nüsse, Samen und Ölfrüchte
6256;;Cervelat;Kurzbeschreibung;200;ml;0,69;€;0,35;;Fleisch- und Wurstwaren/Brühwurstware
6257;;Champignon (Konserve);Kurzbeschreibung;375;g ;1,29;€;1,29;;Gemüse/Pilze
139;;Champignon, gedünstet (ohne Zugabe von Fett und Salz);Kurzbeschreibung;120;g ;0,69;€;0,69;;Gemüse/Pilze
6258;;Champignon, roh;Kurzbeschreibung;100;ml;0,69;€;0,35;;Gemüse/Pilze
6259;;Chicorée, gedämpft (ohne Zugabe von Salz);Kurzbeschreibung;250;ml;0,79;€;0,66;;Gemüse/Gemüse gekocht (inkl. Konserven)
6260;;Chicorée, roh;Kurzbeschreibung;100;g ;0,89;€;1,78;;Gemüse/Gemüse frisch
6261;;Chili con carne, zubereitet;Kurzbeschreibung;200;g ;0,69;€;1,04;;Gerichte/Eintöpfe und Suppen
6262;;Chinakohl, gedünstet (ohne Zugabe von Fett und Salz);Kurzbeschreibung;375;g ;2,49;€;0,5;;Gemüse/Gemüse gekocht (inkl. Konserven)
6263;;Chinakohl, roh;Kurzbeschreibung;120;g ;1,99;€;1;;Gemüse/Gemüse frisch
6264;;Chräbeli (Anisgebäck);Kurzbeschreibung;100;g ;1,98;€;3,96;;Süssigkeiten/Guetzli
6265;;Cicorino rot, roh;Kurzbeschreibung;250;g ;3,49;€;5,24;;Gemüse/Gemüse frisch
6266;;Cocktailsauce, selbst zubereitet mit Rapsöl-Mayonnaise;Kurzbeschreibung;100;g ;3,49;€;0,7;;Verschiedenes/Saucen
6267;;Colagetränk, gezuckert;Kurzbeschreibung;200;g ;2,49;€;1,25;;Alkoholfreie Getränke/Süssgetränke
6268;;Colagetränk, mit Süssstoffen;Kurzbeschreibung;375;g ;0,98;€;0,98;;Alkoholfreie Getränke/Süssgetränke energievermindert
6269;;Coleslaw Salat, zubereitet;Kurzbeschreibung;120;g ;0,98;€;0,98;;Gerichte/Salate
6270;;Coppa;Kurzbeschreibung;100;g ;0,98;€;0,49;;Fleisch- und Wurstwaren/Rohwurstware
6271;;Cordon Bleu aus Kalbsplätzli, gebraten;Kurzbeschreibung;250;g ;7,99;€;6,66;;Fleisch und Innereien/Kalb
6272;;Cordon Bleu aus Schweinsplätzli, gebraten;Kurzbeschreibung;100;g ;1,39;€;2,78;;Fleisch und Innereien/Schwein
6273;;Cornflakes;Kurzbeschreibung;200;g ;1,49;€;2,24;;Brote, Flocken und Frühstückscerealien/Müeslimischungen und Frühstückscerealien
6274;;Cotechino;Kurzbeschreibung;375;g ;0,77;€;0,15;;Fleisch- und Wurstwaren/Kochwurstware
6275;;Cotto (Fleischerzeugnis);Kurzbeschreibung;120;g ;0,39;€;0,2;;Fleisch- und Wurstwaren/Kochwurstware
6276;;Cracker, Salzgebäck, Apérogebäck;Kurzbeschreibung;100;g ;1,1;€;1,1;;Salzige Snacks/Salzsticks und Bretzel
6277;;Crèmeschnitte;Kurzbeschreibung;250;g ;1,1;€;1,1;;Süssigkeiten/Sonstige süsse Backwaren
6278;;Crêpes mit Camembert, zubereitet;Kurzbeschreibung;100;g ;1,49;€;0,75;;Gerichte/Sonstige salzige/rezente Gerichte
6279;;Crêpes mit Champignonfüllung, zubereitet;Kurzbeschreibung;200;g ;0,69;€;0,58;;Gerichte/Sonstige salzige/rezente Gerichte
6280;;Crêpes mit Gemüsefüllung, zubereitet;Kurzbeschreibung;375;g ;0,69;€;1,38;;Gerichte/Sonstige salzige/rezente Gerichte
6281;;Crêpes mit Nutella, zubereitet;Kurzbeschreibung;120;g ;5,99;€;8,99;;Gerichte/Sonstige süsse Gerichte
6282;;Crêpes mit Schinken, zubereitet;Kurzbeschreibung;100;g ;0,99;€;0,2;;Gerichte/Sonstige salzige/rezente Gerichte
6283;;Crêpes mit Speck, zubereitet;Kurzbeschreibung;250;g ;0,69;€;0,35;;Gerichte/Sonstige salzige/rezente Gerichte
6284;;Crêpes mit Zimt und Zucker, zubereitet;Kurzbeschreibung;100;g ;1,49;€;1,49;;Gerichte/Sonstige süsse Gerichte
6285;;Crêpes nature, zubereitet;Kurzbeschreibung;200;g ;0,69;€;0,69;;Gerichte/Sonstige salzige/rezente Gerichte
6286;;Crevettencocktail, zubereitet;Kurzbeschreibung;375;ml;0,79;€;0,4;;Gerichte/Salate
6287;;Dattel, getrocknet;Kurzbeschreibung;120;ml;0,69;€;0,58;;Früchte/Früchte getrocknet
128;;Dinkelmehl, Ruch, Typ 1100;Kurzbeschreibung;100;g ;1,29;€;2,58;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke
6288;;Dinkelmehl, Vollkorn, Typ 1900;Kurzbeschreibung;250;g ;0,69;€;1,04;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke
6289;;Dinkelmehl, weiss, Typ 550;Kurzbeschreibung;100;g ;0,69;€;0,14;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Mehle und Stärke
6290;;Distelöl;Kurzbeschreibung;200;g ;0,79;€;0,4;;Fette und Öle/Öle
6291;;Doppelrahm, pasteurisiert;Kurzbeschreibung;375;g ;0,89;€;0,89;;"Fette und Öle/Rahm;Milch und Milchprodukte/Rahm und Butter"
6292;;Dorsch, Filet, gedämpft (ohne Zusatz von Fett und Salz);Kurzbeschreibung;120;g ;0,69;€;0,69;;Fisch/Meeresfische
6293;;Dorsch, roh;Kurzbeschreibung;100;ml;2,49;€;1,25;;Fisch/Meeresfische
6294;;Dulce de Leche;Kurzbeschreibung;250;g ;1,99;€;1,66;;Süssigkeiten/Konfitüren und süsse Brotaufstriche
6295;;Edelkastanie, roh;Kurzbeschreibung;100;g ;1,98;€;3,96;;Nüsse, Samen und Ölfrüchte
6296;;Egli, roh;Kurzbeschreibung;200;g ;3,49;€;5,24;;Fisch/Süsswasserfische
6297;;Eieromeletten mit Käse, zubereitet;Kurzbeschreibung;375;g ;3,49;€;0,7;;Gerichte/Sonstige salzige/rezente Gerichte
6298;;Eieromeletten mit Schinken, zubereitet;Kurzbeschreibung;120;g ;2,49;€;1,25;;Gerichte/Sonstige salzige/rezente Gerichte
6299;;Eieromeletten mit Speck, zubereitet;Kurzbeschreibung;100;g ;0,98;€;1,96;;Gerichte/Sonstige salzige/rezente Gerichte
6300;;Eieromeletten, zubereitet;Kurzbeschreibung;250;g ;0,98;€;1,47;;Gerichte/Sonstige salzige/rezente Gerichte
6301;;Eierschwamm, gedünstet (ohne Zugabe von Fett und Salz);Kurzbeschreibung;100;g ;0,98;€;0,2;;Gemüse/Pilze
6302;;Eierschwamm, roh;Kurzbeschreibung;200;g ;7,99;€;4;;Gemüse/Pilze
6303;;Eisbergsalat, roh;Kurzbeschreibung;375;g ;1,39;€;1,39;;Gemüse/Gemüse frisch
6304;;Eistee, gezuckert;Kurzbeschreibung;120;g ;1,49;€;1,49;;"Alkoholfreie Getränke/Süssgetränke;Alkoholfreie Getränke/Tee"
6305;;Emmentaler, vollfett;Kurzbeschreibung;100;g ;0,77;€;0,39;;Milch und Milchprodukte/Hartkäse
6306;;Endivie, roh;Kurzbeschreibung;250;g ;0,39;€;0,33;;Gemüse/Gemüse frisch
6307;;Engadiner Nusstorte;Kurzbeschreibung;100;g ;1,1;€;2,2;;Süssigkeiten/Kuchen, Torten und Cake
6308;;Erbse (Konserve) ;Kurzbeschreibung;200;g ;1,49;€;2,24;;Gemüse/Gemüse gekocht (inkl. Konserven)
6309;;Erbse (Konserve), aufgewärmt (ohne Zugabe von Salz);Kurzbeschreibung;375;g ;0,69;€;0,14;;Gemüse/Gemüse gekocht (inkl. Konserven)
6310;;Erbse, grün, gedämpft (ohne Zugabe von Salz);Kurzbeschreibung;120;g ;0,69;€;0,35;;Gemüse/Gemüse gekocht (inkl. Konserven)
6311;;Erbse, grün, roh;Kurzbeschreibung;100;g ;5,99;€;5,99;;Gemüse/Gemüse frisch
6312;;Erbse, reif, getrocknet;Kurzbeschreibung;250;g ;0,99;€;0,99;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte
6313;;Erbse, reif, getrocknet, gekocht (ohne Zusatz von Fett und Salz);Kurzbeschreibung;100;g ;0,69;€;0,35;;Getreideprodukte, Hülsenfrüchte und Kartoffeln/Hülsenfrüchte
6314;;Erbsen und Karotten (Konserve);Kurzbeschreibung;200;g ;1,49;€;1,24;;Gemüse/Gemüse gekocht (inkl. Konserven)
6315;;Erbsen und Karotten (Konserve), aufgewärmt (ohne Zugabe von Salz);Kurzbeschreibung;375;g ;0,69;€;1,38;;Gemüse/Gemüse gekocht (inkl. Konserven)
6316;;Erdbeere, roh;Kurzbeschreibung;120;g ;0,79;€;1,19;;Früchte/Früchte frisch
